Première entrée,Dernière entrée,Nombre d'années,Code ISO3,Territoire
1998,2021,24,abw,Aruba
1998,2021,24,afg,Afghanistan
1998,2021,24,ago,Angola
1998,2021,24,aia,Anguilla
1998,2021,24,alb,Albania
1998,2021,24,and,Andorra
1998,2010,13,ant,Netherlands Antilles
1998,2021,24,are,United Arab Emirates
1998,2021,24,arg,Argentina
1998,2021,24,arm,Armenia
2000,2021,22,asm,American Samoa
2000,2013,14,ata,Antarctica
1998,2021,24,atf,French South Antarctic Territory
1998,2021,24,atg,Antigua and Barbuda
1998,2021,24,aus,Australia
1998,2021,24,aut,Austria
1998,2021,24,aze,Azerbaijan
1998,2021,24,bdi,Burundi
1999,2021,23,bel,Belgium
1998,2021,24,ben,Benin
2011,2021,11,bes,"Bonaire, Sint Eustatius and Saba"
1998,2021,24,bfa,Burkina Faso
1998,2021,24,bgd,Bangladesh
1998,2021,24,bgr,Bulgaria
1998,2021,24,bhr,Bahrain
1998,2021,24,bhs,Bahamas
1998,2021,24,bih,Bosnia and Herzegovina
2013,2021,9,blm,Saint Barthélemy
1998,2021,24,blr,Belarus
1998,2018,21,blx,Belgium-Luxembourg
1998,2021,24,blz,Belize
1998,2021,24,bmu,Bermuda
1998,2021,24,bol,Bolivia
1998,2021,24,bra,Brazil
1998,2021,24,brb,Barbados
1998,2021,24,brn,Brunei
1998,2021,24,btn,Bhutan
2000,2013,14,bvt,Bouvet Island
2000,2021,22,bwa,Botswana
1998,2021,24,caf,Central African Republic
1998,2021,24,can,Canada
1998,2021,24,cck,Cocos (Keeling) Islands
1998,2021,24,che,Switzerland
1998,2021,24,chl,Chile
1998,2021,24,chn,China
1998,2021,24,civ,Cote d'Ivoire
1998,2021,24,cmr,Cameroon
1998,2021,24,cod,Democratic Republic of the Congo
1998,2021,24,cog,Republic of the Congo
1998,2021,24,cok,Cook Islands
1998,2021,24,col,Colombia
1998,2021,24,com,Comoros
1998,2021,24,cpv,Cape Verde
1998,2021,24,cri,Costa Rica
1998,2021,24,cub,Cuba
2011,2021,11,cuw,Curaçao
1998,2021,24,cxr,Christmas Island
1998,2021,24,cym,Cayman Islands
1998,2021,24,cyp,Cyprus
1998,2021,24,cze,Czech Republic
1998,2021,24,deu,Germany
1998,2021,24,dji,Djibouti
1998,2021,24,dma,Dominica
1998,2021,24,dnk,Denmark
1998,2021,24,dom,Dominican Republic
1998,2021,24,dza,Algeria
1998,2021,24,ecu,Ecuador
1998,2021,24,egy,Egypt
1998,2021,23,eri,Eritrea
1998,2013,16,esh,Western Sahara
1998,2021,24,esp,Spain
1998,2021,24,est,Estonia
1998,2021,24,eth,Ethiopia
1998,2021,24,fin,Finland
1998,2021,24,fji,Fiji
1998,2021,24,flk,Falkland Islands
1998,2021,24,fra,France
1998,2021,24,fsm,Micronesia
1998,2021,24,gab,Gabon
1998,2021,24,gbr,United Kingdom
1998,2021,24,geo,Georgia
1998,2021,24,gha,Ghana
1998,2021,24,gib,Gibraltar
1998,2021,24,gin,Guinea
1998,2021,24,gmb,Gambia
1998,2021,24,gnb,Guinea-Bissau
1998,2021,24,gnq,Equatorial Guinea
1998,2021,24,grc,Greece
1998,2021,24,grd,Grenada
1998,2021,24,grl,Greenland
1998,2021,24,gtm,Guatemala
2000,2021,22,gum,Guam
1998,2021,24,guy,Guyana
1998,2021,24,hkg,Hong Kong
2000,2013,14,hmd,Heard Island and McDonald Islands
1998,2021,24,hnd,Honduras
1998,2021,24,hrv,Croatia
1998,2021,24,hti,Haiti
1998,2021,24,hun,Hungary
1998,2021,24,idn,Indonesia
1998,2021,24,ind,India
1998,2021,24,iot,British Indian Ocean Territory
1998,2021,24,irl,Ireland
1998,2021,24,irn,Iran
1998,2021,24,irq,Iraq
1998,2021,24,isl,Iceland
1998,2021,24,isr,Israel
1998,2021,24,ita,Italy
1998,2021,24,jam,Jamaica
1998,2021,24,jor,Jordan
1998,2021,24,jpn,Japan
1998,2021,24,kaz,Kazakhstan
1998,2021,24,ken,Kenya
1998,2021,24,kgz,Kyrgyzstan
1998,2021,24,khm,Cambodia
1998,2021,24,kir,Kiribati
1998,2021,24,kna,Saint Kitts and Nevis
1998,2021,24,kor,South Korea
1998,2021,24,kwt,Kuwait
1998,2021,24,lao,Laos
1998,2021,24,lbn,Lebanon
1998,2021,24,lbr,Liberia
1998,2021,24,lby,Libya
1998,2021,24,lca,Saint Lucia
1998,2021,24,lka,Sri Lanka
2000,2021,22,lso,Lesotho
1998,2021,24,ltu,Lithuania
1999,2021,23,lux,Luxembourg
1998,2021,24,lva,Latvia
1998,2021,24,mac,Macau
2011,2021,11,maf,Saint Martin
1998,2021,24,mar,Morocco
1998,2021,24,mda,Moldova
1998,2021,24,mdg,Madagascar
1998,2021,24,mdv,Maldives
1998,2021,24,mex,Mexico
1998,2021,24,mhl,Marshall Islands
1998,2021,24,mkd,Macedonia
1998,2021,24,mli,Mali
1998,2021,24,mlt,Malta
1998,2021,24,mmr,Myanmar
2006,2021,16,mne,Montenegro
1998,2021,24,mng,Mongolia
1998,2021,24,mnp,Northern Mariana Islands
