"Code 6-digit","Section Code","Part 2-digit","Part 4-digit","Part 6-digit","Product Name","Nom du produit"
"010121","Type 1","01","01","21","Horses : Pure-bred breeding animals","Chevaux : Reproducteurs de race pure"
"010129","Type 1","01","01","29","Horses : Other","Chevaux : Autres"
"010130","Type 1","01","01","30","Asses","Anes"
"010190","Type 1","01","01","90","Other","Autres"
"010221","Type 1","01","02","21","Cattle : Pure-bred breeding animals","Bovins domestiques : Reproducteurs de race pure"
"010229","Type 1","01","02","29","Cattle : Other","Bovins domestiques : Autres"
"010231","Type 1","01","02","31","Buffalo : Pure-bred breeding animals","Buffles : Reproducteurs de race pure"
"010239","Type 1","01","02","39","Buffalo : Other","Buffles : Autres"
"010290","Type 1","01","02","90","Other","Autres"
"010310","Type 1","01","03","10","Pure-bred breeding animals","Reproducteurs de race pure"
"010391","Type 1","01","03","91","Other : Weighing less than 50 kg","Autres : D\[CloseCurlyQuote]un poids inférieur à 50 kg"
"010392","Type 1","01","03","92","Other : Weighing 50 kg or more","Autres : D\[CloseCurlyQuote]un poids égal ou supérieur à 50 kg"
"010410","Type 1","01","04","10","Sheep","De l\[CloseCurlyQuote]espèce ovine"
"010420","Type 1","01","04","20","Goats","De l\[CloseCurlyQuote]espèce caprine"
"010511","Type 1","01","05","11","Weighing not more than 185 g : Fowls of the species Gallus domesticus","D'un poids n'excédant pas 185 g : Volailles de l'espèce Gallus domesticus"
"010512","Type 1","01","05","12","Weighing not more than 185 g : Turkeys","D'un poids n'excédant pas 185 g : Dindes et dindons"
"010513","Type 1","01","05","13","Weighing not more than 185 g : Ducks","D'un poids n'excédant pas 185 g : Canards"
"010514","Type 1","01","05","14","Weighing not more than 185 g : Geese","D'un poids n'excédant pas 185 g : Oies"
"010515","Type 1","01","05","15","Weighing not more than 185 g : Guinea fowls","D'un poids n'excédant pas 185 g : Pintades"
"010594","Type 1","01","05","94","Other : Fowls of the species Gallus domesticus","Autres : Volailles de l'espèce Gallus domesticus"
"010599","Type 1","01","05","99","Other : Other","Autres : Autres"
"010611","Type 1","01","06","11","Mammals : Primates","Mammifères : Primates"
"010612","Type 1","01","06","12","Mammals : Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","Mammifères : Baleines, dauphins et marsouins (mammifères de l\[CloseCurlyQuote]ordre Cetacea) ; lamantins et dugongs (mammifères de l\[CloseCurlyQuote]ordre Sirenia) ; otaries et phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia)"
"010613","Type 1","01","06","13","Mammals : Camels and other camelids (Camelidae)","Mammifères : Chameaux et autres camélidés (Camelidae)"
"010614","Type 1","01","06","14","Mammals : Rabbits and hares","Mammifères : Lapins et lièvres"
"010619","Type 1","01","06","19","Mammals : Other","Mammifères : Autres"
"010620","Type 1","01","06","20","Reptiles (including snakes and turtles)","Reptiles (y compris les serpents et les tortues de mer)"
"010631","Type 1","01","06","31","Birds : Birds of prey","Oiseaux : Oiseaux de proie"
"010632","Type 1","01","06","32","Birds : Psittaciformes (including parrots, parakeets, macaws and cockatoos)","Oiseaux : Psittaciformes (y compris les perroquets, perruches, aras et cacatoès)"
"010633","Type 1","01","06","33","Birds : Ostriches; emus (Dromaius novaehollandiae)","Oiseaux : Autruches ; émeus (Dromaius novaehollandiae)"
"010639","Type 1","01","06","39","Birds : Other","Oiseaux : Autres"
"010641","Type 1","01","06","41","Insects : Bees","Insectes : Abeilles"
"010649","Type 1","01","06","49","Insects : Other","Insectes : Autres"
"010690","Type 1","01","06","90","Other","Autres"
"020110","Type 1","02","01","10","Carcasses and half-carcasses","En carcasses ou demi-carcasses"
"020120","Type 1","02","01","20","Other cuts with bone in","Autres morceaux non désossés"
"020130","Type 1","02","01","30","Boneless","Désossées"
"020210","Type 1","02","02","10","Carcasses and half-carcasses","En carcasses ou demi-carcasses"
"020220","Type 1","02","02","20","Other cuts with bone in","Autres morceaux non désossés"
"020230","Type 1","02","02","30","Boneless","Désossées"
"020311","Type 1","02","03","11","Fresh or chilled : Carcasses and half-carcasses","Fraîches ou réfrigérées : En carcasses ou demi-carcasses"
"020312","Type 1","02","03","12","Fresh or chilled : Hams, shoulders and cuts thereof, with bone in","Fraîches ou réfrigérées : Jambons, épaules et leurs morceaux, non désossés"
"020319","Type 1","02","03","19","Fresh or chilled : Other","Fraîches ou réfrigérées : Autres"
"020321","Type 1","02","03","21","Frozen : Carcasses and half-carcasses","Congelées : En carcasses ou demi-carcasses"
"020322","Type 1","02","03","22","Frozen : Hams, shoulders and cuts thereof, with bone in","Congelées : Jambons, épaules et leurs morceaux, non désossés"
"020329","Type 1","02","03","29","Frozen : Other","Congelées : Autres"
"020410","Type 1","02","04","10","Carcasses and half-carcasses of lamb, fresh or chilled","Carcasses et demi-carcasses d\[CloseCurlyQuote]agneau, fraîches ou réfrigérées"
"020421","Type 1","02","04","21","Other meat of sheep, fresh or chilled : Carcasses and half-carcasses","Autres viandes des animaux de l\[CloseCurlyQuote]espèce ovine, fraîches ou réfrigérées : En carcasses ou demi-carcasses"
"020422","Type 1","02","04","22","Other meat of sheep, fresh or chilled : Other cuts with bone in","Autres viandes des animaux de l\[CloseCurlyQuote]espèce ovine, fraîches ou réfrigérées : En autres morceaux non désossés"
"020423","Type 1","02","04","23","Other meat of sheep, fresh or chilled : Boneless","Autres viandes des animaux de l\[CloseCurlyQuote]espèce ovine, fraîches ou réfrigérées : Désossées"
"020430","Type 1","02","04","30","Carcasses and half-carcasses of lamb, frozen","Carcasses et demi-carcasses d\[CloseCurlyQuote]agneau, congelées"
"020441","Type 1","02","04","41","Other meat of sheep, frozen : Carcasses and half-carcasses","Autres viandes des animaux de l\[CloseCurlyQuote]espèce ovine, congelées : En carcasses ou demi-carcasses"
"020442","Type 1","02","04","42","Other meat of sheep, frozen : Other cuts with bone in","Autres viandes des animaux de l\[CloseCurlyQuote]espèce ovine, congelées : En autres morceaux non désossés"
"020443","Type 1","02","04","43","Other meat of sheep, frozen : Boneless","Autres viandes des animaux de l\[CloseCurlyQuote]espèce ovine, congelées : Désossées"
"020450","Type 1","02","04","50","Meat of goats","Viandes des animaux de l'espèce caprine"
"020500","Type 1","02","05","00","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.","Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées"
"020610","Type 1","02","06","10","Of bovine animals, fresh or chilled","De l'espèce bovine, frais ou réfrigérés"
"020621","Type 1","02","06","21","Of bovine animals, frozen : Tongues","De l'espèce bovine, congelés : Langues"
"020622","Type 1","02","06","22","Of bovine animals, frozen : Livers","De l'espèce bovine, congelés : Foies"
"020629","Type 1","02","06","29","Of bovine animals, frozen : Other","De l'espèce bovine, congelés : Autres"
"020630","Type 1","02","06","30","Of swine, fresh or chilled","De l'espèce porcine, frais ou réfrigérés"
"020641","Type 1","02","06","41","Of swine, frozen : Livers","De l'espèce porcine, congelés : Foies"
"020649","Type 1","02","06","49","Of swine, frozen : Other","De l'espèce porcine, congelés : Autres"
"020680","Type 1","02","06","80","Other, fresh or chilled","Autres, frais ou réfrigérés"
"020690","Type 1","02","06","90","Other, frozen","Autres, congelés"
"020711","Type 1","02","07","11","Of fowls of the species Gallus domesticus : Not cut in pieces, fresh or chilled","De volailles de l'espèce Gallus domesticus : Non découpés en morceaux, frais ou réfrigérés"
"020712","Type 1","02","07","12","Of fowls of the species Gallus domesticus : Not cut in pieces, frozen","De volailles de l'espèce Gallus domesticus : Non découpés en morceaux, congelés"
"020713","Type 1","02","07","13","Of fowls of the species Gallus domesticus : Cuts and offal, fresh or chilled","De volailles de l'espèce Gallus domesticus : Morceaux et abats, frais ou réfrigérés"
"020714","Type 1","02","07","14","Of fowls of the species Gallus domesticus : Cuts and offal, frozen","De volailles de l'espèce Gallus domesticus : Morceaux et abats, congelés"
"020724","Type 1","02","07","24","Of turkeys : Not cut in pieces, fresh or chilled","De dindes et dindons : Non découpés en morceaux, frais ou réfrigérés"
"020725","Type 1","02","07","25","Of turkeys : Not cut in pieces, frozen","De dindes et dindons : Non découpés en morceaux, congelés"
"020726","Type 1","02","07","26","Of turkeys : Cuts and offal, fresh or chilled","De dindes et dindons : Morceaux et abats, frais ou réfrigérés"
"020727","Type 1","02","07","27","Of turkeys : Cuts and offal, frozen","De dindes et dindons : Morceaux et abats, congelés"
"020741","Type 1","02","07","41","Of ducks : Not cut in pieces, fresh or chilled","De canards : Non découpés en morceaux, frais ou réfrigérés"
"020742","Type 1","02","07","42","Of ducks : Not cut in pieces, frozen","De canards : Non découpés en morceaux, congelés"
"020743","Type 1","02","07","43","Of ducks : Fatty livers, fresh or chilled","De canards : Foies gras, frais ou réfrigérés"
"020744","Type 1","02","07","44","Of ducks : Other, fresh or chilled","De canards : Autres, frais ou réfrigérés"
"020745","Type 1","02","07","45","Of ducks : Other, frozen","De canards : Autres, congelés"
