"Code 6-digit","Section Code","Part 2-digit","Part 4-digit","Part 6-digit","Product Name","Nom du produit"
"010111","Type 1","01","01","11","Horses; live, pure-bred breeding animals","Les chevaux ; animaux reproducteurs vivants de race pure"
"010119","Type 1","01","01","19","Horses; live, other than pure-bred breeding animals","Les chevaux ; vivants, autres que les reproducteurs de race pure"
"010120","Type 1","01","01","20","Asses, mules and hinnies; live","Ânes, mulets et bardots  ; vivants"
"010210","Type 1","01","02","10","Bovine animals; live, pure-bred breeding animals","Bovins ; animaux reproducteurs vivants de race pure"
"010290","Type 1","01","02","90","Bovine animals; live, other than pure-bred breeding animals","Bovins ; vivants, autres que les reproducteurs de race pure"
"010310","Type 1","01","03","10","Swine; live, pure-bred breeding animals","Porc ; animaux reproducteurs vivants de race pure"
"010391","Type 1","01","03","91","Swine; live, (other than pure-bred breeding animals), weighing less than 50kg","Porc ; vivants (autres que les reproducteurs de race pure) pesant moins de 50 kg"
"010392","Type 1","01","03","92","Swine; live, (other than pure-bred breeding animals), weighing 50kg or more","Porc ; vivants (autres que les reproducteurs de race pure), pesant 50 kg ou plus"
"010410","Type 1","01","04","10","Sheep; live","Mouton ; vivants"
"010420","Type 1","01","04","20","Goats; live","Chèvres ; vivants"
"010511","Type 1","01","05","11","Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g","La volaille ; vivants, volailles de l'espèce gallus domesticus, ne pesant pas plus de 185 g"
"010519","Type 1","01","05","19","Poultry; live, weighing not more than 185g, ducks, geese, turkeys and guinea fowls","La volaille ; vivants, ne pesant pas plus de 185 g, canards, oies, dindes et pintades"
"010591","Type 1","01","05","91","Poultry; live, fowls of the species gallus domesticus, weighing more than 185g","La volaille ; vivants, volailles de l'espèce gallus domesticus, pesant plus de 185g"
"010599","Type 1","01","05","99","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","La volaille ; vivants, canards, oies, dindes et pintades, pesant plus de 185g"
"010600","Type 1","01","06","00","Animals; live, n.e.s. in chapter 1","Animaux ; vivre, n.d.a. au chapitre 1"
"020110","Type 1","02","01","10","Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled","Viande ; de bovins, carcasses et demi-carcasses, frais ou réfrigérés"
"020120","Type 1","02","01","20","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","Viande ; de bovins, morceaux non désossés (à l'exclusion des carcasses et des demi-carcasses), frais ou réfrigérés"
"020130","Type 1","02","01","30","Meat; of bovine animals, boneless cuts, fresh or chilled","Viande ; de bovins, morceaux désossés, frais ou réfrigérés"
"020210","Type 1","02","02","10","Meat; of bovine animals, carcasses and half-carcasses, frozen","Viande ; de bovins, carcasses et demi-carcasses, congelées"
"020220","Type 1","02","02","20","Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen","Viande ; de bovins, morceaux non désossés (hors carcasses et demi-carcasses), congelés"
"020230","Type 1","02","02","30","Meat; of bovine animals, boneless cuts, frozen","Viande ; de bovins, morceaux désossés, congelés"
"020311","Type 1","02","03","11","Meat; of swine, carcasses and half-carcasses, fresh or chilled","Viande ; de porcs, carcasses et demi-carcasses, frais ou réfrigérés"
"020312","Type 1","02","03","12","Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled","Viande ; de porc, jambons, épaules et leurs morceaux, non désossés, frais ou réfrigérés"
"020319","Type 1","02","03","19","Meat; of swine, n.e.s. in item no. 0203.1, fresh or chilled","Viande ; de porcs, n.d.a. dans l'article no. 0203.1, frais ou réfrigéré"
"020321","Type 1","02","03","21","Meat; of swine, carcasses and half-carcasses, frozen","Viande ; de porcs, carcasses et demi-carcasses, congelés"
"020322","Type 1","02","03","22","Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen","Viande ; de porc, jambons, épaules et leurs morceaux, non désossés, congelés"
"020329","Type 1","02","03","29","Meat; of swine, n.e.s. in item no. 0203.2, frozen","Viande ; de porcs, n.d.a. dans l'article no. 0203.2, congelé"
"020410","Type 1","02","04","10","Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled","Viande ; de carcasses et demi-carcasses d'ovins, d'agneaux, frais ou réfrigérés"
"020421","Type 1","02","04","21","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled","Viande ; d'ovins, carcasses et demi-carcasses (à l'exclusion des carcasses et demi-carcasses d'agneau), frais ou réfrigérés"
"020422","Type 1","02","04","22","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled","Viande ; d'ovins (y compris l'agneau), morceaux non désossés (à l'exclusion des carcasses et des demi-carcasses), frais ou réfrigérés"
"020423","Type 1","02","04","23","Meat; of sheep (including lamb), boneless cuts, fresh or chilled","Viande ; de mouton (y compris l'agneau), morceaux désossés, frais ou réfrigérés"
"020430","Type 1","02","04","30","Meat; of sheep, lamb carcasses and half-carcasses, frozen","Viande ; de moutons, carcasses et demi-carcasses d'agneau, congelées"
"020441","Type 1","02","04","41","Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen","Viande ; d'ovins, carcasses et demi-carcasses (à l'exclusion des carcasses et demi-carcasses d'agneau), congelées"
"020442","Type 1","02","04","42","Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen","Viande ; d'ovins (y compris l'agneau), morceaux non désossés (à l'exclusion des carcasses et demi-carcasses), congelés"
"020443","Type 1","02","04","43","Meat; of sheep (including lamb), boneless cuts, frozen","Viande ; de mouton (y compris l'agneau), morceaux désossés, congelés"
