"id","hs02","english name","nom français","classification","code parent","level","isLeaf"
"0101",1.,"Animals; live","Animaux vivants","H2","TOTAL",2.,0.
"010101",101.,"Horses, asses, mules and hinnies; live","Chevaux, ânes, mulets et bardots, vivants","H2",1.,4.,0.
"0110110",10110.,"Horses, asses, mules and hinnies; live, pure-bred breeding animals","Reproducteurs de race pure","H2",101.,6.,1.
"0110190",10190.,"Horses, asses, mules and hinnies; live, other than pure-bred breeding animals","Autres","H2",101.,6.,1.
"010102",102.,"Bovine animals; live","Animaux vivants de l'espèce bovine","H2",1.,4.,0.
"0110210",10210.,"Bovine animals; live, pure-bred breeding animals","Reproducteurs de race pure","H2",102.,6.,1.
"0110290",10290.,"Bovine animals; live, other than pure-bred breeding animals","Autres","H2",102.,6.,1.
"010103",103.,"Swine; live","Animaux vivants de l'espèce porcine","H2",1.,4.,0.
"0110310",10310.,"Swine; live, pure-bred breeding animals","Reproducteurs de race pure","H2",103.,6.,1.
"0110391",10391.,"Swine; live, (other than pure-bred breeding animals), weighing less than 50kg","Autres : D'un poids inférieur à 50 kg","H2",103.,6.,1.
"0110392",10392.,"Swine; live, (other than pure-bred breeding animals), weighing 50kg or more","Autres : D'un poids égal ou supérieur à 50 kg","H2",103.,6.,1.
"010104",104.,"Sheep and goats; live","Animaux vivants des espèces ovine ou caprine","H2",1.,4.,0.
"0110410",10410.,"Sheep; live","De l'espèce ovine","H2",104.,6.,1.
"0110420",10420.,"Goats; live","De l'espèce caprine","H2",104.,6.,1.
"010105",105.,"Poultry; live, fowls of the species gallus domesticus, ducks, geese, turkeys and guinea fowls","Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques","H2",1.,4.,0.
"0110511",10511.,"Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g","D'un poids n'excédant pas 185 g : Coqs et poules","H2",105.,6.,1.
"0110512",10512.,"Poultry; live, weighing not more than 185g, turkeys","D'un poids n'excédant pas 185 g : Dindes et dindons","H2",105.,6.,1.
"0110519",10519.,"Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls","D'un poids n'excédant pas 185 g : Autres","H2",105.,6.,1.
"0110592",10592.,"Poultry; live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus","Autres : Coqs et poules d'un poids n'excédant pas 2.000 g","H2",105.,6.,1.
"0110593",10593.,"Poultry; live, weighing over 2000g, fowls of the species gallus domesticus","Autres : Coqs et poules d'un poids excédant 2.000 g","H2",105.,6.,1.
"0110599",10599.,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","Autres : Autres","H2",105.,6.,1.
"010106",106.,"Animals, n.e.s. in chapter 01; live","Autres animaux vivants","H2",1.,4.,0.
